MR;gini_r;gdp_r;gini_t;gdp_t;rank;optimal
CURITIBA;44;40;0.4224726676211514;172218635;84;1
SAO PAULO;34;45;0.46914328790470705;1280545835;79;1
JUNDIAI;43;33;0.4298725496780163;80773864;76;0
SANTOS;40;29;0.433146197672243;65053188;69;0
CAMPINAS;28;41;0.5050103021788922;206606197;69;0
SOROCABA;38;30;0.4489029337843442;66011917;68;0
RIBEIRAO PRETO;41;26;0.4320771745627264;42999733;67;0
SAO JOSE DOS CAMPOS;32;35;0.4883937387422615;88423854;67;0
BELO HORIZONTE;22;42;0.5272460488644094;209297948;64;0
RECIFE;23;37;0.5265507962560353;101357906;60;0
FLORIANOPOLIS;35;25;0.4663151247059353;42937210;60;0
MARINGA;45;14;0.38858686827374445;25054211;59;0
JOINVILLE;29;28;0.4959885447348792;52771607;57;0
NOVO HAMBURGO - SAO LEOPOLDO;36;21;0.46111727767917254;33428530;57;0
RIO DE JANEIRO;13;44;0.5718480889886578;584805593;57;0
PORTO ALEGRE;17;39;0.5457429726325;145438386;56;0
CAMPOS DOS GOYTACAZES;39;16;0.44;29097631;55;0
LONDRINA;33;19;0.4831303477029559;31271695;52;0
VITORIA;20;32;0.5332327541617595;75533716;52;0
UBERLANDIA;26;24;0.51;37628201;50;0
GOIANIA;19;31;0.5442437241970296;75122900;50;0
CAXIAS DO SUL;31;18;0.4887655027666476;30575663;49;0
JUIZ DE FORA;42;7;0.43177364144218594;19299403;49;0
BRASILIA;5;43;0.6044065570639436;289307564;48;0
NATAL;25;22;0.5183822655560878;35418617;47;0
FORTALEZA;10;36;0.5910645158846461;93195408;46;0
JOAO PESSOA;30;15;0.4902073765211789;27879583;45;0
SALVADOR;3;38;0.6178129271751817;120590796;41;0
CAMPINA GRANDE;37;2;0.4518268696521836;10047301;39;0
VOLTA REDONDA - BARRA MANSA;27;10;0.5083258360279309;21562914;37;0
BELEM;9;27;0.592170168990914;49433698;36;0
MANAUS;1;34;0.63;84867423;35;0
CAMPO GRANDE;14;17;0.57;30234896;31;0
IPATINGA;24;6;0.5226653683881255;17546754;30;0
SAO JOSE DO RIO PRETO;21;9;0.5288855430522889;21521360;30;0
SAO LUIS;6;23;0.6039842601615274;35480254;29;0
CUIABA;8;20;0.5936458653584201;33220471;28;0
PELOTAS - RIO GRANDE;18;8;0.5447042699301429;20133117;26;0
ARACAJU;11;11;0.5872053287782916;22373994;22;0
TERESINA;7;12;0.6003223974136258;24105579;19;0
PETROLINA - JUAZEIRO;15;3;0.57;11615741;18;0
CRAJUBAR;16;0;0.5517482731476303;7687065;16;0
MACEIO;2;13;0.6276050724222517;25017494;15;0
ILHEUS - ITABUNA;12;1;0.5784806408401074;8851096;13;0
FEIRA DE SANTANA;4;5;0.61;14898192;9;0
MACAPA;0;4;0.6765002588211662;13560461;4;0
