;p_value;reject;matrix_singular;no_variance
PROCESSING_ACPS_ARACAJU;0.000000;different means;;True
PROCESSING_ACPS_BELEM;0.000000;different means;;
PROCESSING_ACPS_BELO HORIZONTE;0.000000;different means;;
PROCESSING_ACPS_BRASILIA;0.000000;different means;;
PROCESSING_ACPS_CAMPINA GRANDE;0.000000;different means;;
PROCESSING_ACPS_CAMPINAS;0.000000;different means;;
PROCESSING_ACPS_CAMPO GRANDE;0.000000;different means;;
PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;0.000000;different means;;
PROCESSING_ACPS_CAXIAS DO SUL;0.000000;different means;;
PROCESSING_ACPS_CRAJUBAR;0.000000;different means;;
PROCESSING_ACPS_CUIABA;0.000000;different means;;
PROCESSING_ACPS_CURITIBA;0.000000;different means;;
PROCESSING_ACPS_FEIRA DE SANTANA;0.000000;different means;;
PROCESSING_ACPS_FLORIANOPOLIS;0.000000;different means;;
PROCESSING_ACPS_FORTALEZA;0.000000;different means;;
PROCESSING_ACPS_GOIANIA;0.000000;different means;;
PROCESSING_ACPS_ILHEUS - ITABUNA;0.000000;different means;;
PROCESSING_ACPS_IPATINGA;0.000000;different means;;
PROCESSING_ACPS_JOAO PESSOA;0.000000;different means;;
PROCESSING_ACPS_JOINVILLE;0.000000;different means;;
PROCESSING_ACPS_JUIZ DE FORA;0.000000;different means;;
PROCESSING_ACPS_JUNDIAI;0.000000;different means;;
PROCESSING_ACPS_LONDRINA;0.000000;different means;;
PROCESSING_ACPS_MACAPA;0.000000;different means;;
PROCESSING_ACPS_MACEIO;0.000000;different means;;
PROCESSING_ACPS_MANAUS;0.000000;different means;;
PROCESSING_ACPS_MARINGA;0.000000;different means;;
PROCESSING_ACPS_NATAL;0.000000;different means;;
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.000000;different means;;
PROCESSING_ACPS_PELOTAS - RIO GRANDE;0.000000;different means;;
PROCESSING_ACPS_PETROLINA - JUAZEIRO;0.000000;different means;;
PROCESSING_ACPS_PORTO ALEGRE;0.000000;different means;;
PROCESSING_ACPS_RECIFE;0.000000;different means;;
PROCESSING_ACPS_RIBEIRAO PRETO;0.000000;different means;;
PROCESSING_ACPS_RIO DE JANEIRO;0.000000;different means;;
PROCESSING_ACPS_SALVADOR;0.000000;different means;;
PROCESSING_ACPS_SANTOS;0.000000;different means;;
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.000000;different means;;
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.000000;different means;;
PROCESSING_ACPS_SAO LUIS;0.000000;different means;;
PROCESSING_ACPS_SAO PAULO;0.000000;different means;;
PROCESSING_ACPS_SOROCABA;0.000000;different means;;
PROCESSING_ACPS_TERESINA;0.000000;different means;;
PROCESSING_ACPS_UBERLANDIA;0.000000;different means;;
PROCESSING_ACPS_VITORIA;0.000000;different means;;
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;0.000000;different means;;
POLICIES_buy;0.000000;different means;;
POLICIES_no_policy;0.000000;different means;;
POLICIES_rent;0.000000;different means;;
POLICIES_wage;0.000000;different means;;
LABOR_MARKET;0.000000;different means;;
NEIGHBORHOOD_EFFECT;0.000315;different means;;
PCT_DISTANCE_HIRING;0.000000;different means;;
PERCENTAGE_ACTUAL_POP;0.000000;different means;;
PERCENTAGE_ENTERING_ESTATE_MARKET;0.000000;different means;;
POLICY_COEFFICIENT;0.000468;different means;;
POLICY_DAYS;0.000000;different means;;
POLICY_QUANTILE;0.000000;different means;;
PUBLIC_TRANSIT_COST;0.000000;different means;;
TOTAL_DAYS;0.000000;different means;;
Tree;0.000000;different means;;
WAGE_IGNORE_UNEMPLOYMENT_True;;equal means;;
T_LICENSES_PER_REGION_False;0.938910;equal means;;
T_LICENSES_PER_REGION_True;0.600968;equal means;;
T_LICENSES_PER_REGION_random;0.548793;equal means;;
STARTING_DAY_2000-01-01;0.017648;equal means;;
STARTING_DAY_2010-01-01;0.017648;equal means;;
INTEREST_fixed;0.771365;equal means;;
INTEREST_nominal;0.532199;equal means;;
INTEREST_real;0.738631;equal means;;
FPM_DISTRIBUTION_False;0.289409;equal means;;
FPM_DISTRIBUTION_True;0.289409;equal means;;
ALTERNATIVE0_False;0.126091;equal means;;
ALTERNATIVE0_True;0.126091;equal means;;
HIRING_SAMPLE_SIZE;0.198845;equal means;;
LOAN_PAYMENT_TO_PERMANENT_INCOME;0.008415;equal means;;
MARKUP;0.617607;equal means;;
MAX_LOAN_TO_VALUE;0.355358;equal means;;
MUNICIPAL_EFFICIENCY_MANAGEMENT;0.068327;equal means;;
OFFER_SIZE_ON_PRICE;0.162247;equal means;;
PERCENT_CONSTRUCTION_FIRMS;0.058427;equal means;;
PRIVATE_TRANSIT_COST;0.037652;equal means;;
PRODUCTIVITY_EXPONENT;0.473035;equal means;;
PRODUCTIVITY_MAGNITUDE_DIVISOR;0.022285;equal means;;
SIZE_MARKET;0.725687;equal means;;
STICKY_PRICES;0.781888;equal means;;
TAX_ESTATE_TRANSACTION;0.519609;equal means;;
